dataset,split,style,model,layer,SB/SW,Silhouette,DBI,N,D
cifar10,valid,mhrp,student,2,0.005506651672725544,-0.14203302373909668,44.66204066579907,2997,128
cifar10,valid,mhrp,student_kd,2,0.1908974112836599,-0.005548462092539981,5.430787597674867,2997,128
cifar10,valid,mhrp,student_rkd,2,0.16543722106176106,-0.017569818650464825,5.953170120074537,999,128
cifar10,valid,mhrp,teacher,2,0.0031132342460995282,-0.1352094697872151,45.25610290118766,2997,128
cifar10,valid,mhrp,student,3,0.004503818462057032,-0.14250779198760732,46.10844292878516,2997,128
cifar10,valid,mhrp,student_kd,3,0.19209328334732403,0.028571816647571767,4.713726877562048,2997,128
cifar10,valid,mhrp,student_rkd,3,0.15403875562627822,0.006084252946018105,5.457988229067323,999,128
cifar10,valid,mhrp,teacher,3,0.0024946472004838058,-0.1407502971676131,42.176672081096775,2997,256
tiny_imagenet,train,aap,student,0,0.05205616437287678,-0.8330317111432987,16.960296415912577,1997,64
tiny_imagenet,train,aap,student_kd,0,0.43483155310508087,-0.4168500966393877,5.0741257121995575,1997,64
tiny_imagenet,train,aap,student_rkd,0,0.6217924938205003,-0.38493856126480386,3.977322772991325,999,64
tiny_imagenet,train,aap,teacher,0,0.026845477009891584,-0.8978975072008937,22.953078132391873,1997,64
tiny_imagenet,train,aap,student,1,0.02457578266676637,-0.8945192249660048,23.854064981306543,1997,64
tiny_imagenet,train,aap,student_kd,1,0.41825852749823555,-0.3465846646701305,4.68250845702037,1997,64
tiny_imagenet,train,aap,student_rkd,1,0.6129560746941634,-0.32140864138169134,3.5467395944607882,999,64
tiny_imagenet,train,aap,teacher,1,0.009748404921199844,-0.9388506423970322,35.19875765041983,1997,128
tiny_imagenet,train,aap,student,2,0.012856293458252043,-0.9235970922007126,28.963581017720944,1997,128
tiny_imagenet,train,aap,student_kd,2,0.41263411228056895,-0.2627298415313217,4.325412479853646,1997,128
tiny_imagenet,train,aap,student_rkd,2,0.611050718862107,-0.24487020945403545,3.2792611863699324,999,128
tiny_imagenet,train,aap,teacher,2,0.006113014122471046,-0.9449456245494141,38.523635740092324,1997,128
tiny_imagenet,train,aap,student,3,0.010154553264225406,-0.9277216664820213,30.883387700322654,1997,128
tiny_imagenet,train,aap,student_kd,3,0.3892194836587623,-0.1980687899746786,4.061980302277375,1997,128
tiny_imagenet,train,aap,student_rkd,3,0.5763890086710419,-0.18504266637242106,3.077744452550419,999,128
tiny_imagenet,train,aap,teacher,3,0.00313708972546243,-0.944836669774123,38.70053152435584,1997,256
tiny_imagenet,train,at,student,0,0.14296558727542477,-0.41409282448191936,6.296264774399072,1997,256
tiny_imagenet,train,at,student_kd,0,0.1392700586390475,-0.28325107138207034,4.96133769517952,1997,256
tiny_imagenet,train,at,student_rkd,0,0.2835115047610765,-0.28431834650987714,3.4079537249857554,999,256
tiny_imagenet,train,at,teacher,0,0.1422872517019629,-0.46376719485338064,6.964503017891093,1997,256
tiny_imagenet,train,at,student,1,0.14739996093047225,-0.4507191762355303,6.9760291365114355,1997,256
tiny_imagenet,train,at,student_kd,1,0.1427572289337277,-0.2388242839120295,4.9023120559688484,1997,256
tiny_imagenet,train,at,student_rkd,1,0.29172091087636276,-0.23554120408614734,3.373279534673699,999,256
tiny_imagenet,train,at,teacher,1,0.14390697550635584,-0.5031686545045694,7.994842645858382,1997,64
tiny_imagenet,train,at,student,2,0.14614476968485277,-0.4958185542178856,7.882030243092626,1997,64
tiny_imagenet,train,at,student_kd,2,0.1525984259669826,-0.2868394739021574,5.280840485195362,1997,64
tiny_imagenet,train,at,student_rkd,2,0.2986719618838178,-0.2518439533370415,3.6821693023432385,999,64
tiny_imagenet,train,at,teacher,2,0.14368868003909513,-0.5712437604406252,9.331913880672571,1997,64
tiny_imagenet,train,at,student,3,0.149813125616035,-0.5457495802525091,9.035428715715806,1997,64
tiny_imagenet,train,at,student_kd,3,0.1493801811250633,-0.2839165322145726,5.253172463891899,1997,64
tiny_imagenet,train,at,student_rkd,3,0.2931910433210193,-0.25614065889539195,3.659966730324155,999,64
tiny_imagenet,train,at,teacher,3,0.13210789013517094,-0.6263401018807687,12.039081761079593,1997,16
tiny_imagenet,train,mhrp,student,0,0.053126706237514136,-0.8315038838409073,17.369285831971943,1997,64
tiny_imagenet,train,mhrp,student_kd,0,0.4384117620612932,-0.4382256951381462,5.29995064849191,1997,64
tiny_imagenet,train,mhrp,student_rkd,0,0.623589491391882,-0.40409815924426146,4.085263147549931,999,64
tiny_imagenet,train,mhrp,teacher,0,0.02852577868213808,-0.8926791314799511,22.5610762876644,1997,64
tiny_imagenet,train,mhrp,student,1,0.02418234128817548,-0.8986198033734303,24.45705639005987,1997,64
tiny_imagenet,train,mhrp,student_kd,1,0.4117164666719534,-0.3615744780699663,4.8416091517380995,1997,64
tiny_imagenet,train,mhrp,student_rkd,1,0.6044867726071826,-0.3360014323842257,3.6770942501675212,999,64
tiny_imagenet,train,mhrp,teacher,1,0.011661683509932677,-0.9364346912029058,33.858681324723605,1997,128
tiny_imagenet,train,mhrp,student,2,0.014960891853961055,-0.9196823020453045,27.68156629230196,1997,128
